pitcher,pitch_type,release_speed,pfx_z,pfx_x,release_spin_rate,spin_axis,release_pos_x,release_pos_z,release_extension,plate_z,plate_x,stand
660271,FF,97.6,1.05,0.05,2236,216,-2.49,5.76,6.8,2.96,0.73,L
660271,FF,99,1.15,-0.19,NA,NA,-2.46,5.74,6.8,1.82,-0.1,R
660271,FF,97.8,1.29,-0.2,NA,NA,-2.37,5.75,6.8,1.59,0.15,R
660271,FF,96,1.15,-0.46,NA,NA,-2.37,5.73,6.9,1.33,0.74,R
660271,FC,89.7,0.12,0.45,1962,87,-2.56,5.79,6.8,1.51,0.93,R
660271,SL,85.4,0.53,1.18,2530,87,-2.71,5.74,6.9,2.25,0.94,R
660271,SL,83.1,-0.25,1.12,2473,83,-2.53,5.77,6.5,0.5,0.2,R
660271,FF,97,1.15,-0.11,2148,209,-2.18,5.88,6.9,2.17,0.04,L
660271,FF,97.1,1.13,0.12,2200,200,-2.33,5.94,6.7,4.07,-0.19,L
660271,CU,74.3,-1.13,1.11,2363,44,-1.82,6.47,6.5,1.87,0.96,L
660271,FS,89.3,0.03,-0.37,1013,237,-1.83,6.22,6.8,1.75,-0.27,R
660271,FS,88.3,0.2,-0.44,1071,235,-1.78,6.2,6.9,0.92,0.23,R
660271,SL,87.5,0.23,1.18,2532,74,-2.55,5.82,6.8,2.82,-0.23,R
660271,FF,99.5,1.12,-0.14,2317,202,-2.2,5.97,6.7,3.21,0.38,L
660271,FF,99,0.91,0.06,2270,216,-2.37,5.87,6.7,2.27,0.33,L
660271,FF,98.1,1.04,-0.24,2210,208,-2.25,5.9,6.8,1.72,0.46,L
660271,FF,98.5,1.31,-0.33,2246,211,-2.11,5.97,6.8,2.29,0.64,R
660271,SL,84.8,-0.14,1.66,2692,60,-2.51,5.66,7,1.61,0.32,R
660271,FF,96.5,1.22,-0.34,2259,211,-2.34,5.91,6.8,3.32,-1.86,R
660271,SL,85.5,0.47,1.11,2494,81,-2.42,5.9,6.8,1.65,1.09,R
660271,FF,99.6,1.16,-0.4,2278,203,-2.11,5.8,6.9,1.95,0.28,R
660271,SL,88.5,0.45,1.31,2647,107,-2.66,5.5,6.7,3.05,0.36,R
660271,SL,87.1,0.35,1.28,2572,80,-2.66,5.58,6.7,2.54,-0.53,R
660271,SL,86.5,0.31,1.62,2545,69,-2.55,5.56,6.6,3.64,-1.09,R
660271,FS,89.7,0.06,-0.32,1001,230,-2.17,5.96,6.7,2.38,-1.88,R
660271,SL,87.3,0.14,1.41,2549,59,-2.08,5.97,6.6,2.65,1.21,R
660271,SL,86.1,0.24,1.6,2512,64,-2.54,5.62,6.8,2.9,-0.01,R
660271,FC,90.4,0.33,0.44,2482,172,-2.51,5.79,6.9,2.46,0.65,R
